OrganizationName,PatentFilerName,LinuxFoundationMembership,RepositoryFullName,RepositoryURL,RepositoryForks,RepositoryWatchers,RepositorySizeInKiloBytes,RepositoryName,GitHubOrgName,GitHubOrgURL,RespositoryDescription
Amazon,"AMAZON TECHNOLOGIES, INC.",None,aws/aws-sdk-java,https://api.github.com/repos/aws/aws-sdk-java,1190,1627,459984,aws-sdk-java,aws,https://github.com/aws,The official AWS SDK for Java.
Amazon,"AMAZON TECHNOLOGIES, INC.",None,aws/aws-sdk-ios-v1,https://api.github.com/repos/aws/aws-sdk-ios-v1,187,497,17890,aws-sdk-ios-v1,aws,https://github.com/aws,Deprecated
Amazon,"AMAZON TECHNOLOGIES, INC.",None,aws/aws-toolkit-eclipse,https://api.github.com/repos/aws/aws-toolkit-eclipse,90,164,169220,aws-toolkit-eclipse,aws,https://github.com/aws,"AWS Toolkit for Eclipse – an open-source plugin for developing, deploying, and managing AWS applications."
Amazon,"AMAZON TECHNOLOGIES, INC.",None,aws/aws-sdk-ruby,https://api.github.com/repos/aws/aws-sdk-ruby,682,2149,31251,aws-sdk-ruby,aws,https://github.com/aws,The official AWS SDK for Ruby.
Amazon,"AMAZON TECHNOLOGIES, INC.",None,aws/aws-sdk-net,https://api.github.com/repos/aws/aws-sdk-net,257,496,305501,aws-sdk-net,aws,https://github.com/aws,"The official AWS SDK for .NET. For more information on the AWS SDK for .NET, see our web site:"
Amazon,"AMAZON TECHNOLOGIES, INC.",None,aws/aws-sdk-js,https://api.github.com/repos/aws/aws-sdk-js,440,2580,32858,aws-sdk-js,aws,https://github.com/aws,AWS SDK for JavaScript in the browser and Node.js
Amazon,"AMAZON TECHNOLOGIES, INC.",None,aws/aws-sdk-php,https://api.github.com/repos/aws/aws-sdk-php,607,2192,30403,aws-sdk-php,aws,https://github.com/aws,Official repository of the AWS SDK for PHP (@awsforphp)
Amazon,"AMAZON TECHNOLOGIES, INC.",None,aws/aws-sdk-php-zf2,https://api.github.com/repos/aws/aws-sdk-php-zf2,32,88,135,aws-sdk-php-zf2,aws,https://github.com/aws,"ZF2 module for using the AWS SDK for PHP to interact with AWS services like S3, DynamoDB, SQS, EC2, etc."
Amazon,"AMAZON TECHNOLOGIES, INC.",None,aws/aws-cli,https://api.github.com/repos/aws/aws-cli,675,4256,12982,aws-cli,aws,https://github.com/aws,Universal Command Line Interface for Amazon Web Services
Amazon,"AMAZON TECHNOLOGIES, INC.",None,aws/aws-sdk-php-silex,https://api.github.com/repos/aws/aws-sdk-php-silex,14,74,32,aws-sdk-php-silex,aws,https://github.com/aws,Simple Silex service provider for including the AWS SDK for PHP
Amazon,"AMAZON TECHNOLOGIES, INC.",None,aws/aws-sdk-php-laravel,https://api.github.com/repos/aws/aws-sdk-php-laravel,106,729,97,aws-sdk-php-laravel,aws,https://github.com/aws,A Laravel 5 (and 4) service provider for the AWS SDK for PHP
Amazon,"AMAZON TECHNOLOGIES, INC.",None,aws/opsworks-cookbooks,https://api.github.com/repos/aws/opsworks-cookbooks,1173,919,32429,opsworks-cookbooks,aws,https://github.com/aws,Chef Cookbooks for the AWS OpsWorks Service
Amazon,"AMAZON TECHNOLOGIES, INC.",None,aws/aws-flow-ruby,https://api.github.com/repos/aws/aws-flow-ruby,50,134,1191,aws-flow-ruby,aws,https://github.com/aws,
Amazon,"AMAZON TECHNOLOGIES, INC.",None,aws/aws-dynamodb-session-tomcat,https://api.github.com/repos/aws/aws-dynamodb-session-tomcat,60,69,158,aws-dynamodb-session-tomcat,aws,https://github.com/aws,Amazon DynamoDB based session store for Apache Tomcat
Amazon,"AMAZON TECHNOLOGIES, INC.",None,aws/aws-sessionstore-dynamodb-ruby,https://api.github.com/repos/aws/aws-sessionstore-dynamodb-ruby,15,37,66,aws-sessionstore-dynamodb-ruby,aws,https://github.com/aws,Handles sessions for Ruby web applications using DynamoDB as a backend.
Amazon,"AMAZON TECHNOLOGIES, INC.",None,aws/aws-cfn-resource-bridge,https://api.github.com/repos/aws/aws-cfn-resource-bridge,34,52,1557,aws-cfn-resource-bridge,aws,https://github.com/aws,
Amazon,"AMAZON TECHNOLOGIES, INC.",None,aws/aws-sdk-core-ruby,https://api.github.com/repos/aws/aws-sdk-core-ruby,62,247,14571,aws-sdk-core-ruby,aws,https://github.com/aws,This repository has moved to the master branch of aws/aws-sdk-ruby
